audit_id,workflow_area,record_type,source_file,source_chunk,source_route,date,check_ref,amount,payee_or_vendor,description,memo,category,address_present,address_value,missing_fields,match_status,matched_record_id,evidence_status,confidence,filing_blocker_reason,audit_action,human_answer,operator_notes,reviewed_by,reviewed_at,ready_for_import,ready_for_filing
E-001,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-3,/admin/compliance/reconciliation,2026-04-30,,15.83,MCDONALD'S F11164 2214 N REYNOLDS BRYANT,MCDONALD'S F11164 2214 N REYNOLDS BRYANT,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 3; Date: 2026-04-30; Description: POS Purchase MCDONALD'S F11164 2214 N REYNOLDS BRYANT AR *****3739 04/30 7:42; Amount: $15.83; Inferred vendor: MCDONALD'S F11164 2214 N REYNOLDS BRYANT,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-045,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-74,/admin/compliance/reconciliation,2026-04-09,,12.72,SHELL SERVICE S RUSSELLVILLE,SHELL SERVICE S RUSSELLVILLE,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 74; Date: 2026-04-09; Description: POS Purchase SHELL SERVICE S RUSSELLVILLE AR *****3739 04/09 17:32; Amount: $12.72; Inferred vendor: SHELL SERVICE S RUSSELLVILLE,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-046,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-75,/admin/compliance/reconciliation,2026-04-09,,125.62,AIRBNB * HMMFAWM5HC 4158005959,AIRBNB * HMMFAWM5HC 4158005959,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 75; Date: 2026-04-09; Description: POS Purchase AIRBNB * HMMFAWM5HC 4158005959 CA *****3739 04/09 04:32; Amount: $125.62; Inferred vendor: AIRBNB * HMMFAWM5HC 4158005959,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-047,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-76,/admin/compliance/reconciliation,2026-04-09,,125.62,AIRBNB * HMMFAWM5HC 4158005959,AIRBNB * HMMFAWM5HC 4158005959,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 76; Date: 2026-04-09; Description: POS Purchase AIRBNB * HMMFAWM5HC 4158005959 CA *****3739 04/08 13:36; Amount: $125.62; Inferred vendor: AIRBNB * HMMFAWM5HC 4158005959,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-048,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-78,/admin/compliance/reconciliation,2026-04-08,150,1250,Check,Check,,,no,,Vendor address when vendor confirmed,yes,,Bank row 78; Date: 2026-04-08; Ref/check: 150; Description: Check; Amount: $1250.00; Inferred vendor: Check; Matched upload: bank-staged-bank-20260519212554-bank-april-2026-csv-row-78,,,Verify documentation matches bank line,,,,,no,no
E-049,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-79,/admin/compliance/reconciliation,2026-04-08,152,2267.1,On-Us Check,On-Us Check,,,no,,Vendor address when vendor confirmed,yes,,Bank row 79; Date: 2026-04-08; Ref/check: 152; Description: On-Us Check; Amount: $2267.10; Inferred vendor: On-Us Check; Matched upload: bank-staged-bank-20260519212554-bank-april-2026-csv-row-79,,,Verify documentation matches bank line,,,,,no,no
E-050,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-81,/admin/compliance/reconciliation,2026-04-07,,27.55,BULLDOG RESTAURANT BALD KNOB,BULLDOG RESTAURANT BALD KNOB,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 81; Date: 2026-04-07; Description: POS Purchase BULLDOG RESTAURANT BALD KNOB AR *****3739 04/06 22:26; Amount: $27.55; Inferred vendor: BULLDOG RESTAURANT BALD KNOB,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-051,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-82,/admin/compliance/reconciliation,2026-04-07,,791.69,ACMESOURCE/OFFICEHUB ARLINGTON,ACMESOURCE/OFFICEHUB ARLINGTON,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 82; Date: 2026-04-07; Description: POS Purchase ACMESOURCE/OFFICEHUB ARLINGTON TN *****3739 04/06 21:34; Amount: $791.69; Inferred vendor: ACMESOURCE/OFFICEHUB ARLINGTON,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-052,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-83,/admin/compliance/reconciliation,2026-04-07,,70.81,WALMART.COM 8009256278 702 SW 8TH ST BENTONVILLE,WALMART.COM 8009256278 702 SW 8TH ST BENTONVILLE,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 83; Date: 2026-04-07; Description: POS Purchase WALMART.COM 8009256278 702 SW 8TH ST BENTONVILLE AR *****3739 4/05 21:57; Amount: $70.81; Inferred vendor: WALMART.COM 8009256278 702 SW 8TH ST BENTONVILLE,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-053,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-85,/admin/compliance/reconciliation,2026-04-02,139,90,Check,Check,,,no,,Vendor address when vendor confirmed,yes,,Bank row 85; Date: 2026-04-02; Ref/check: 139; Description: Check; Amount: $90.00; Inferred vendor: Check; Matched upload: bank-staged-bank-20260519212554-bank-april-2026-csv-row-85,,,Verify documentation matches bank line,,,,,no,no
E-054,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-87,/admin/compliance/reconciliation,2026-04-01,147,100,Check,Check,,,no,,Vendor address when vendor confirmed,yes,,Bank row 87; Date: 2026-04-01; Ref/check: 147; Description: Check; Amount: $100.00; Inferred vendor: Check; Matched upload: bank-staged-bank-20260519212554-bank-april-2026-csv-row-87,,,Verify documentation matches bank line,,,,,no,no
E-055,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-88,/admin/compliance/reconciliation,2026-04-01,,33.6,GOOGLE *WORKSPACE.KELLYGR GOOGLE *WORKSPACE.KELLY MOUNTAIN VIEW,GOOGLE *WORKSPACE.KELLYGR GOOGLE *WORKSPACE.KELLY MOUNTAIN VIEW,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 88; Date: 2026-04-01; Description: POS Purchase GOOGLE *WORKSPACE.KELLYGR GOOGLE *WORKSPACE.KELLY MOUNTAIN VIEW CA *****3739 04/01 06:22; Amount: $33.60; Inferred vendor: GOOGLE *WORKSPACE.KELLYGR GOOGLE *WORKSPACE.KELLY MOUNTAIN VIEW,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-056,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-89,/admin/compliance/reconciliation,2026-04-01,,28.92,LAS PLAYITAS MEXICAN R ROSE BUD,LAS PLAYITAS MEXICAN R ROSE BUD,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 89; Date: 2026-04-01; Description: POS Purchase LAS PLAYITAS MEXICAN R ROSE BUD AR *****3739 03/31 10:17; Amount: $28.92; Inferred vendor: LAS PLAYITAS MEXICAN R ROSE BUD,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
